distrito,n_establecimientos,tipos_distintos,cobertura_cat
San Isidro,29,1.0,Alta
Magdalena del Mar,11,2.0,Baja
San Borja,36,2.0,Alta
Lince,13,2.0,Media
Pueblo Libre,16,2.0,Media
Jesús María,32,2.0,Alta
Pucusana,0,,Sin establecimientos
Barranco,5,1.0,Baja
Miraflores,30,2.0,Alta
Surquillo,23,2.0,Media
Punta Negra,0,,Sin establecimientos
San Luis,8,1.0,Baja
San Miguel,16,2.0,Media
Punta Hermosa,0,,Sin establecimientos
Pachacamac,17,2.0,Media
La Victoria,28,2.0,Alta
La Molina,14,2.0,Media
Breña,12,2.0,Media
Santa Anita,19,2.0,Media
Cieneguilla,3,1.0,Baja
Lima,40,2.0,Alta
El Agustino,13,2.0,Media
Rímac,13,2.0,Media
Ate,39,2.0,Alta
Chaclacayo,4,2.0,Baja
Independencia,18,2.0,Media
Los Olivos,50,2.0,Alta
Comas,49,2.0,Alta
Lurigancho,6,1.0,Baja
San Juan de Lurigancho,73,2.0,Alta
Ancón,5,2.0,Baja
Carabayllo,24,2.0,Alta
Santa Rosa,1,1.0,Baja
Puente Piedra,16,2.0,Media
San Martín de Porres,38,2.0,Alta
Santiago de Surco,39,2.0,Alta
San Juan de Miraflores,21,2.0,Media
Chorrillos,30,2.0,Alta
Villa María del Triunfo,25,2.0,Alta
Villa el Salvador,21,2.0,Media
Lurin,8,2.0,Baja
San Bartolo,0,,Sin establecimientos
Santa María del Mar,0,,Sin establecimientos
